"Onderwerpen_1";"Onderwerpen_2";"Onderwerpen_3";"Onderwerpen_4";"Perioden";"1999 1e kwartaal";"1999 2e kwartaal";"1999 3e kwartaal";"1999 4e kwartaal";"2000 1e kwartaal";"2000 2e kwartaal";"2000 3e kwartaal";"2000 4e kwartaal";"2001 1e kwartaal";"2001 2e kwartaal";"2001 3e kwartaal";"2001 4e kwartaal";"2002 1e kwartaal";"2002 2e kwartaal";"2002 3e kwartaal";"2002 4e kwartaal";"2003 1e kwartaal";"2003 2e kwartaal";"2003 3e kwartaal";"2003 4e kwartaal";"2004 1e kwartaal";"2004 2e kwartaal";"2004 3e kwartaal";"2004 4e kwartaal";"2005 1e kwartaal";"2005 2e kwartaal";"2005 3e kwartaal";"2005 4e kwartaal";"2006 1e kwartaal";"2006 2e kwartaal";"2006 3e kwartaal";"2006 4e kwartaal";"2007 1e kwartaal";"2007 2e kwartaal";"2007 3e kwartaal";"2007 4e kwartaal";"2008 1e kwartaal";"2008 2e kwartaal";"2008 3e kwartaal";"2008 4e kwartaal";"2009 1e kwartaal";"2009 2e kwartaal";"2009 3e kwartaal";"2009 4e kwartaal";"2010 1e kwartaal";"2010 2e kwartaal";"2010 3e kwartaal";"2010 4e kwartaal";"2011 1e kwartaal";"2011 2e kwartaal";"2011 3e kwartaal";"2011 4e kwartaal";"2012 1e kwartaal";"2012 2e kwartaal";"2012 3e kwartaal";"2012 4e kwartaal";"2013 1e kwartaal";"2013 2e kwartaal";"2013 3e kwartaal";"2013 4e kwartaal";"2014 1e kwartaal";"2014 2e kwartaal";"2014 3e kwartaal";"2014 4e kwartaal";"2015 1e kwartaal*";"2015 2e kwartaal*";"2015 3e kwartaal*";"2015 4e kwartaal*";"2016 1e kwartaal*";"2016 2e kwartaal*";"2016 3e kwartaal*";"2016 4e kwartaal*";"2016*";"2017 1e kwartaal*";"2017 2e kwartaal*";"2017 3e kwartaal*";"2017 4e kwartaal*";"2017*"
"Totaal sociale uitkeringen";"Totaal uitkeringen in geld en natura";"Totaal uitkeringen in geld en natura";"Totaal uitkeringen in geld en natura";"mln euro";"16999";"18747";"16514";"17246";"17796";"19682";"17349";"17962";"18891";"20975";"18629";"19107";"20592";"22682";"20119";"20575";"21870";"24160";"21616";"21995";"22108";"24795";"22028";"22658";"22514";"25314";"22514";"22709";"25753";"28725";"25588";"26096";"26732";"29627";"26333";"27193";"28320";"31253";"28217";"28601";"30206";"33384";"30477";"30965";"31551";"35203";"31715";"32081";"32701";"36200";"32475";"32646";"33480";"37140";"33291";"34206";"34356";"38126";"34404";"34987";"34864";"38743";"34330";"34952";"35581";"39296";"35128";"34957";"35956";"40352";"35854";"36107";"148269";"36577";"40936";"36771";"36512";"150796"
"Totaal sociale uitkeringen";"Totaal wettelijke sociale uitkeringen";"Algemene Ouderdomswet (AOW)";"Algemene Ouderdomswet (AOW)";"mln euro";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"36941";".";".";".";".";"37411"
